id	layer	check	verdict	subject	evidence	autofix	action
C1-f616ad	conservation	C1	IDENTISCH	59 source artefacts	all present in fsh-generated, matched by id or canonical url (source: fsh-generated/resources)	-	-
C2-97e581	conservation	C2	IDENTISCH	output/de (59 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C2-307803	conservation	C2	IDENTISCH	output/en (59 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C3-2e311d	conservation	C3	IDENTISCH	index.md	retired: [MAP-EDIT] source input/pagecontent/index.md is the 3-line SUSHI boilerplate stub ("Feel free to modify this index page") moved by 19ab7b1 — no module content; superseded by the guide tree's Index.page.md	-	-
C3-2e4ab3	conservation	C3	IDENTISCH	BeschreibungvonSzenarienfrdieAnwendungderModule.page.md	migrated -> input/pagecontent/guidance.md (input/pagecontent/guidance.md)	-	-
C3-26ba62	conservation	C3	IDENTISCH	Datenstzeinkl.Beschreibungen.page.md	migrated -> input/pagecontent/logical-models.md (input/pagecontent/logical-models.md)	-	-
C3-d2d566	conservation	C3	IDENTISCH	AnwendungsflleInformationsmodell/Index.page.md	retired: [MAP-EDIT] deliberately-empty Simplifier folder index ("Diese Seite wurde absichtlich leer gelassen") — navigation moves to the template menu	-	-
C3-fcd593	conservation	C3	IDENTISCH	UML.page.md	migrated -> input/pagecontent/uml-diagrams.md (input/pagecontent/uml-diagrams.md)	-	-
C3-1d126d	conservation	C3	IDENTISCH	BeschreibungModul.page.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-5a0d2a	conservation	C3	IDENTISCH	MIIIGModulStudie/Index.page.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-c7063c	conservation	C3	IDENTISCH	KontextimGesamtprojektBezgezuanderenModulen.page.md	migrated -> input/pagecontent/implementer-guidance.md (input/pagecontent/implementer-guidance.md)	-	-
C3-b75bba	conservation	C3	IDENTISCH	Referenzen.page.md	migrated -> input/pagecontent/implementer-guidance.md (input/pagecontent/implementer-guidance.md)	-	-
C3-126e79	conservation	C3	IDENTISCH	Release-Notes.page.md	migrated -> input/pagecontent/changes.md (input/pagecontent/changes.md)	-	-
C3-32eff4	conservation	C3	IDENTISCH	CapabilityStatement.page.md	migrated -> input/pagecontent/capability-statements.md (input/pagecontent/capability-statements.md)	-	-
C3-6bea60	conservation	C3	IDENTISCH	DocumentReference.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-studie-dokument-intro.md (input/intro-notes/StructureDefinition-mii-pr-studie-dokument-intro.md)	-	-
C3-a0e3fe	conservation	C3	IDENTISCH	EvidenceVariable.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-studie-ein-auschluss-kriterium-intro.md (input/intro-notes/StructureDefinition-mii-pr-studie-ein-auschluss-kriterium-intro.md)	-	-
C3-5270db	conservation	C3	IDENTISCH	FHIR-Profile.page.md	retired: [MAP-EDIT] orphan (in no toc.yaml of any tree) and near-duplicate older variant of FHIR-Profile/Index.page.md ("WARNUNG!" text cell instead of the image) — content preserved via the Index row above	-	-
C3-880292	conservation	C3	IDENTISCH	FHIR-Profile/Index.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-3d6f60	conservation	C3	IDENTISCH	Library.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-studie-register-intro.md (input/intro-notes/StructureDefinition-mii-pr-studie-register-intro.md)	-	-
C3-85cbbf	conservation	C3	IDENTISCH	Organization.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-7e895c	conservation	C3	IDENTISCH	PractitionerRole.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-studie-beteiligte-person-intro.md (input/intro-notes/StructureDefinition-mii-pr-studie-beteiligte-person-intro.md)	-	-
C3-76631b	conservation	C3	IDENTISCH	ResearchStudy.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-studie-studie-intro.md (input/intro-notes/StructureDefinition-mii-pr-studie-studie-intro.md)	-	-
